ISIN,Ticker,Unternehmensname,Sektor,Earnings Growth 0-100,Sales Growth 0-100,EPS Growth 0-100,Final Growth 0-100,Final Growth 0-100_Var2,Momentum12M 0-100,Momentum6M 0-100,Final Momentum 0-100,Final Momentum 0-100_Var2,Variability 0-100,Profitability 0-100,Leverage 0-100,Final Quality 0-100,Final Quality 0-100_Var2,EarningsYield 0-100,Valuation 0-100,Final Value 0-100,Final Value 0-100_Var2,Final Min_Vol 0-100
GB00BYW0PQ60,LAND.L,Land Securities Group Plc,Real Estate,52.91348728094457,15.11624964918188,4.746226135121431,34.32993799367276,28.16113999907487,26.321783305610914,27.535523874314386,26.935390801159848,26.92865358996265,83.09542312862551,17.814615772088093,76.5600316317008,40.33579775367564,48.82117157612562,24.950432526735653,45.37994618994917,33.35688849931291,35.16518935834242,83.98695161209216
IL0011194789,AZRG.TA,Azrieli Group Ltd.,Real Estate,49.37597718619197,15.928570836250758,2.637595745898078,32.28812589518826,26.649338358156708,39.47689405571719,55.25098903176724,47.4515001308395,47.36394154374221,94.01634183947316,58.91660599008532,78.20135245433153,76.78313076783031,72.51272656849383,5.685489990524776,21.24820628058111,11.09956787509811,13.466848135552942,67.56973632323076
GB0008782301,TW.L,Taylor Wimpey plc,Consumer Cyclical,46.51437830166311,24.44783186072609,9.835738689139385,36.80762678719446,30.35203180278356,20.80378369993421,6.305342278268486,13.47408527878446,13.554562989101347,80.2062846779715,46.6358369516516,94.21231890429736,67.78727491485441,66.92256937139301,25.16455426909068,36.4508685232945,28.91939425091537,30.80771139619259,77.0619418540657
FR0000120503,EN.PA,Bouygues SA,Industrials,41.22047128067442,54.17317421752914,8.59946545294144,46.855674548470624,39.87735128986971,17.287258725259083,26.13706833190264,21.76128690627157,21.71216352858086,85.30607478381249,37.4335915987805,77.57437790394384,56.68388966653565,59.43690897132933,58.64012312177033,82.2416290962089,69.56003969413182,70.44087610898961,89.8471140125944
IM00B5VQMV65,ENT.L,Entain Plc,Consumer Cyclical,7.491369949495964,27.610753336318005,22.75384500645721,22.787260590277736,18.591618315617037,10.77785157135965,44.92112044429534,28.03900790343772,27.84948600782749,82.70339878019233,29.077645972157782,76.98347332140453,49.03863201446255,54.4605410114781,18.597084572389093,31.21432931706546,22.85486528364605,24.90570694472728,46.3014796907962
US8447411088,LUV,Southwest Airlines Co.,Industrials,64.3868536561433,62.64299349725007,21.53973383152719,66.01619876455278,55.11988562766279,19.75340769815876,40.72462589129499,30.355423487946844,30.239016794726872,69.06547826017527,29.01079435550795,78.92410109767435,44.538351505589226,51.50279201721638,25.341343491599694,29.4779248923534,25.45899568850428,27.409634191976547,54.6772258825615
FR0010451203,RXL.PA,Rexel S.A.,Technology,64.42273209403216,71.98475493799666,7.0239322458915465,65.70249638851955,55.96778126198984,35.2610048171061,45.92186057086015,40.6506087968571,40.59143269398312,72.91543246891679,40.069695418896366,80.92612687850722,55.24327105851763,58.49523754630418,58.81857472871237,47.77606531425951,52.09643420476944,53.297320021485945,65.49714154204528
GB0033195214,KGF.L,Kingfisher plc,Consumer Cyclical,31.83867575473409,17.71415415547322,9.240093145612072,26.390517893169346,21.669150593205337,33.102309084092454,18.416384751240177,25.677828530287872,25.759346917666317,92.18259728106008,41.25749206166862,83.47985974750526,64.32881319224336,64.54436028797565,28.19208253753464,81.58786633488188,53.47712836718195,54.88997443620826,71.55042180859182
FI0009014377,ORNBV.HE,Orion Oyj,Healthcare,49.53045618387864,27.932310075071555,22.632126010136723,43.74139707153408,35.511531705607425,62.5675313777807,44.77629931764339,53.573160069246285,53.67191534771205,72.24993572960142,67.46640050651617,91.012910225529,79.74179724228976,74.54891174204069,29.934389082914727,11.570000456778835,18.712989050121088,20.75219476984678,80.08182832366262
SG1F60858221,S63.SI,Singapore Technologies Engineering Ltd,Industrials,40.82524151454469,37.1527941610698,7.691511910921736,38.90938964184515,32.72951665243015,45.23592726919233,44.44759079909728,44.83738314902534,44.84175903414481,90.21254504210091,45.05712537870271,79.73584135173556,65.19000553680912,65.01565928781048,32.43311588850109,18.968325079246647,23.774034186441646,25.70072048387387,94.02726683005652
CH0012255151,UHR.SW,The Swatch Group AG,Consumer Cyclical,57.45081974107068,28.710445108961537,14.10189326439886,45.40619329273047,37.284884592892666,14.10955668895227,27.06921666964401,20.661322946887083,20.589386679298144,87.01844391263329,41.25127181264071,94.72644562320376,66.37770700718467,66.06185829027962,49.06279972121535,42.69957708901783,44.46421213030183,45.88118840511659,67.03150806738115
FR0010533075,GET.PA,Getlink SE,Industrials,58.04032127050305,26.90642726354488,10.315255328909323,43.75006429317133,36.04175047940104,26.890843587598237,26.38698015772041,26.636115035815305,26.63891187265932,84.95629508950896,32.4991802877717,64.92985510498748,48.243884585833015,53.72112769250997,25.874058019318824,19.22600905862943,20.512479038334867,22.550033538974127,95.2469041593122
BMG4587L1090,H78.SI,Hongkong Land Holdings Limited,Real Estate,53.34455516888761,12.723907201432244,4.523104166528009,33.42521081402689,27.332005781433544,53.98365390653542,52.988352089899074,53.48047829325432,53.486002998217245,93.99484385208574,20.44998519760553,84.32868205053421,49.24107514185662,54.80587407445776,0.0,49.76671106624357,22.68525382240408,24.883355533121787,71.04986872950346
CA9528451052,WFG.TO,West Fraser Timber Co. Ltd.,Basic Materials,6.84814450718615,32.33088400313891,30.409348780655137,26.87863734690352,21.753481160261053,38.50158298372192,39.607724854134354,39.06079387303959,39.05465391892814,28.995808225780628,59.429865068611896,92.33961250821318,57.70772219293132,60.0487877178044,13.709979150537732,27.3859840828552,18.37684019144913,20.547981616696468,74.72426512781958
